Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)
X: First Class,2011,PG-13,131,7.7,65,Action,Adventure,Sci-Fi,146.41
Sen to Chihiro no kamikakushi,2001,PG,125,8.6,96,Animation,Adventure,Family,10.06
Logan,2017,17+,137,8.1,77,Action,Drama,Sci-Fi,226.28
District 9,2009,R,112,7.9,81,Action,Sci-Fi,Thriller,115.65
The King's Speech,2010,R,118,8,88,Biography,Drama,History,138.8
Star Wars: Episode II - Attack of the Clones,2002,PG,142,6.5,54,Action,Adventure,Fantasy,310.68
Ratatouille,2007,G,111,8,96,Animation,Adventure,Comedy,206.45
12 Years a Slave,2013,R,134,8.1,96,Biography,Drama,History,56.67
Million Dollar Baby,2004,PG-13,132,8.1,86,Drama,Sport,NA,100.49
Trainspotting,1996,R,93,8.1,83,Drama,NA,NA,16.5
Skyfall,2012,PG-13,143,7.7,81,Action,Adventure,Thriller,304.36
Batman v Superman: Dawn of Justice,2016,13+,152,6.4,44,Action,Adventure,Sci-Fi,330.36
The Social Network,2010,PG-13,120,7.7,95,Biography,Drama,NA,96.96
Black Panther,2018,17+,134,7.3,88,Action,Adventure,Sci-Fi,700.06
La vita ?bella,1997,PG-13,116,8.6,59,Comedy,Drama,Romance,57.6
Pan's Labyrinth,2006,R,118,8.2,98,Drama,Fantasy,War,37.63
Fargo,1996,R,98,8.1,85,Crime,Drama,Thriller,24.61
The Hunger Games: Catching Fire,2013,PG-13,146,7.5,76,Action,Adventure,Mystery,424.67
Shrek,2001,SU,90,7.8,84,Animation,Adventure,Comedy,267.67
Inside Out,I 2015,SU,95,8.1,94,Animation,Adventure,Comedy,356.46
The Bourne Ultimatum,2007,PG-13,115,8,85,Action,Mystery,Thriller,227.47
Apocalypse Now,1979,R,147,8.4,94,Drama,Mystery,War,83.47
Psycho,1960,R,109,8.5,97,Horror,Mystery,Thriller,32
2001: A Space Odyssey,1968,NA,149,8.3,84,Adventure,Sci-Fi,NA,56.95
World War Z,2013,PG-13,116,7,63,Action,Adventure,Horror,202.36
The Hobbit: The Desolation of Smaug,2013,PG-13,161,7.8,66,Adventure,Fantasy,NA,258.37
Suicide Squad,2016,17+,123,6,40,Action,Adventure,Fantasy,325.1
Edge of Tomorrow,2014,PG-13,113,7.9,71,Action,Adventure,Sci-Fi,100.21
Transformers,2007,PG-13,144,7,61,Action,Adventure,Sci-Fi,319.25
Prisoners,2013,R,153,8.1,70,Crime,Drama,Mystery,61
Now You See Me,I 2013,PG-13,115,7.3,50,Crime,Mystery,Thriller,117.72
Pirates of the Caribbean: At World's End,2007,PG-13,169,7.1,50,Action,Adventure,Fantasy,309.42
Doctor Strange,2016,13+,115,7.5,72,Action,Adventure,Fantasy,232.64
Thor: The Dark World,2013,PG-13,112,6.9,54,Action,Adventure,Fantasy,206.36
Arrival,II 2016,13+,116,7.9,81,Drama,Sci-Fi,NA,100.55
Kingsman: The Secret Service,2014,17+,129,7.7,60,Action,Adventure,Comedy,128.26
The Curious Case of Benjamin Button,2008,PG-13,166,7.8,70,Drama,Fantasy,Romance,127.51
Sherlock Holmes,2009,PG-13,128,7.6,57,Action,Adventure,Mystery,209.03
Casino Royale,2006,PG-13,144,8,80,Action,Adventure,Thriller,167.45
Thor: Ragnarok,2017,13+,130,7.9,74,Action,Adventure,Comedy,315.06
Life of Pi,2012,PG,127,7.9,79,Adventure,Drama,Fantasy,124.99
Jurassic World,2015,PG-13,124,7,59,Action,Adventure,Sci-Fi,652.27
Star Trek,2009,PG-13,127,7.9,82,Action,Adventure,Sci-Fi,257.73
Birdman or (The Unexpected Virtue of Ignorance),2014,R,119,7.7,87,Comedy,Drama,NA,42.34
Groundhog Day,1993,PG,101,8,72,Comedy,Fantasy,Romance,70.91
Twelve Monkeys,1995,R,129,8,74,Mystery,Sci-Fi,Thriller,57.14
Heat,1995,R,170,8.2,76,Crime,Drama,Thriller,67.44
Argo,2012,R,120,7.7,86,Biography,Drama,Thriller,136.03
Into the Wild,2007,R,148,8.1,73,Adventure,Biography,Drama,18.35
Frozen,I 2013,SU,102,7.4,75,Animation,Adventure,Comedy,400.74
X-Men,2000,PG-13,104,7.4,64,Action,Adventure,Sci-Fi,157.3
Ted,2012,R,106,6.9,62,Comedy,NA,NA,218.82
Drive,I 2011,17+,100,7.8,78,Crime,Drama,NA,35.06
Prometheus,I 2012,R,124,7,64,Adventure,Mystery,Sci-Fi,126.48
Ant-Man,2015,13+,117,7.3,64,Action,Adventure,Comedy,180.2
Taken,I 2008,PG-13,90,7.8,51,Action,Thriller,NA,145
Guardians of the Galaxy Vol. 2,2017,13+,136,7.6,67,Action,Adventure,Comedy,389.81
Star Wars: Episode VIII - The Last Jedi,2017,13+,152,7,84,Action,Adventure,Fantasy,620.18
The Amazing Spider-Man,2012,PG-13,136,6.9,66,Action,Adventure,Sci-Fi,262.03
Rogue One,2016,13+,133,7.8,65,Action,Adventure,Sci-Fi,532.18
Harry Potter and the Chamber of Secrets,2002,PG,161,7.4,63,Adventure,Family,Fantasy,261.99
Dunkirk,2017,13+,106,7.9,94,Action,Drama,History,188.37
Harry Potter and the Prisoner of Azkaban,2004,13+,142,7.9,82,Adventure,Family,Fantasy,249.36
Wonder Woman,2017,13+,141,7.4,76,Action,Adventure,Fantasy,412.56
Harry Potter and the Goblet of Fire,2005,PG-13,157,7.7,81,Adventure,Family,Fantasy,290.01
Jaws,1975,NA,124,8,87,Adventure,Thriller,NA,260
Spider-Man 2,2004,PG-13,127,7.3,83,Action,Adventure,Sci-Fi,373.59
Once Upon a Time... in Hollywood,2019,17+,161,7.6,83,Comedy,Drama,NA,142.5
Her,2013,R,126,8,90,Drama,Romance,Sci-Fi,25.57
Looper,2012,R,113,7.4,84,Action,Drama,Sci-Fi,66.49
"Lock, Stock and Two Smoking Barrels",1998,R,107,8.2,66,Action,Comedy,Crime,3.9
John Wick,2014,R,101,7.4,68,Action,Crime,Thriller,43.04
L.A. Confidential,1997,R,138,8.2,90,Crime,Drama,Mystery,64.62
Independence Day,1996,PG-13,145,7,59,Action,Adventure,Sci-Fi,306.17
Limitless,I 2011,PG-13,105,7.4,59,Sci-Fi,Thriller,NA,79.25
Toy Story 2,1999,NA,92,7.9,88,Animation,Adventure,Comedy,245.85
Kick-Ass,2010,D,117,7.6,66,Action,Comedy,Crime,48.07
Cast Away,2000,PG-13,143,7.8,73,Adventure,Drama,Romance,233.63
Gisaengchung,2019,17+,132,8.6,96,Comedy,Drama,Thriller,53.37
Casablanca,1942,PG,102,8.5,100,Drama,Romance,War,1.02
Superbad,2007,R,113,7.6,76,Comedy,NA,NA,121.46
Zombieland,2009,R,88,7.6,73,Adventure,Comedy,Fantasy,75.59
The Notebook,2004,PG-13,123,7.8,53,Drama,Romance,NA,81
Rocky,1976,NA,120,8.1,70,Drama,Sport,NA,117.24
Men in Black,1997,PG-13,98,7.3,71,Action,Adventure,Comedy,250.69
Ocean's Eleven,2001,PG-13,116,7.7,74,Crime,Thriller,NA,183.42
The Matrix Reloaded,2003,R,138,7.2,62,Action,Sci-Fi,NA,281.49
There Will Be Blood,2007,R,158,8.2,93,Drama,NA,NA,40.22
Oldeuboi,2003,R,120,8.4,77,Action,Drama,Mystery,0.71
The Hateful Eight,2015,21+,168,7.8,68,Crime,Drama,Mystery,54.12
X2,2003,PG-13,134,7.4,68,Action,Adventure,Sci-Fi,214.95
Shaun of the Dead,2004,R,99,7.9,76,Comedy,Horror,NA,13.54
21 Jump Street,2012,R,109,7.2,69,Action,Comedy,Crime,138.45
The Bourne Identity,2002,PG-13,119,7.9,68,Action,Mystery,Thriller,121.66
Minority Report,2002,D,145,7.6,80,Action,Crime,Mystery,132.07
Spider-Man: Homecoming,2017,13+,133,7.4,73,Action,Adventure,Sci-Fi,334.2
Harry Potter and the Order of the Phoenix,2007,PG-13,138,7.5,71,Action,Adventure,Family,292
La La Land,2016,PG-13,128,8,94,Comedy,Drama,Music,151.1
Watchmen,2009,R,162,7.6,56,Action,Drama,Mystery,107.51
Monty Python and the Holy Grail,1975,NA,91,8.2,91,Adventure,Comedy,Fantasy,1.23
Despicable Me,2010,SU,95,7.6,72,Animation,Comedy,Crime,251.51
"I, Robot",2004,PG-13,115,7.1,59,Action,Drama,Sci-Fi,144.8
Spider-Man 3,2007,PG-13,139,6.2,59,Action,Adventure,Sci-Fi,336.53
Blood Diamond,2006,R,143,8,64,Adventure,Drama,Thriller,57.37
Rise of the Planet of the Apes,2011,PG-13,105,7.6,68,Action,Drama,Sci-Fi,176.76
Juno,2007,PG-13,96,7.4,81,Comedy,Drama,NA,143.5
Troy,2004,R,163,7.3,56,Drama,History,NA,133.38
Get Out,I 2017,17+,104,7.7,85,Horror,Mystery,Thriller,176.04
American Psycho,2000,R,101,7.6,64,Comedy,Crime,Drama,15.07
Oblivion,I 2013,PG-13,124,7,54,Action,Adventure,Sci-Fi,89.02
Source Code,2011,PG-13,93,7.5,74,Action,Drama,Mystery,54.71
X-Men: The Last Stand,2006,PG-13,104,6.7,58,Action,Adventure,Sci-Fi,234.36
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,137,6.6,45,Action,Adventure,Fantasy,241.06
Back to the Future Part II,1989,NA,108,7.8,57,Adventure,Comedy,Sci-Fi,118.5
The Great Gatsby,2013,PG-13,143,7.2,55,Drama,Romance,NA,144.84
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146,7.7,65,Adventure,Family,Fantasy,295.98
Deadpool 2,2018,17+,119,7.7,66,Action,Adventure,Comedy,324.59
The Hobbit: The Battle of the Five Armies,2014,PG-13,144,7.4,59,Adventure,Fantasy,NA,255.12
Rain Man,1988,NA,133,8,65,Drama,NA,NA,178.8
Ex Machina,2014,R,108,7.7,78,Drama,Sci-Fi,Thriller,25.44
(500) Days of Summer,2009,PG-13,95,7.7,76,Comedy,Drama,Romance,32.39
"Crazy, Stupid, Love.",2011,PG-13,118,7.4,68,Comedy,Drama,Romance,84.35
Harry Potter and the Half-Blood Prince,2009,PG,153,7.6,78,Action,Adventure,Family,301.96
X-Men Origins: Wolverine,2009,PG-13,107,6.6,40,Action,Adventure,Sci-Fi,179.88
Home Alone,1990,NA,103,7.6,63,Comedy,Family,NA,285.76
Pacific Rim,2013,PG-13,131,6.9,65,Action,Adventure,Sci-Fi,101.8
Children of Men,2006,R,109,7.9,84,Adventure,Drama,Sci-Fi,35.55
Star Trek Into Darkness,2013,PG-13,132,7.7,72,Action,Adventure,Sci-Fi,228.78
Casino,1995,21+,178,8.2,73,Crime,Drama,NA,42.44
The Hangover Part II,2011,R,102,6.5,44,Comedy,NA,NA,254.46
Hot Fuzz,2007,R,121,7.8,81,Action,Comedy,Mystery,23.64
Nightcrawler,2014,R,117,7.9,76,Crime,Drama,Thriller,32.38
The Perks of Being a Wallflower,2012,PG-13,103,8,67,Drama,Romance,NA,17.74
Zodiac,2007,R,157,7.7,78,Crime,Drama,Mystery,33.08
It,I 2017,17+,135,7.3,69,Horror,NA,NA,327.48
Mission: Impossible - Ghost Protocol,2011,PG-13,132,7.4,73,Action,Adventure,Thriller,209.4
Blade Runner 2049,2017,17+,164,8,81,Action,Drama,Mystery,92.05
The Butterfly Effect,2004,R,113,7.6,30,Drama,Sci-Fi,Thriller,57.94
Mr. & Mrs. Smith,2005,D,120,6.5,55,Action,Comedy,Crime,186.34
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,8.4,97,Comedy,NA,NA,0.28
American Hustle,2013,R,138,7.2,90,Crime,Drama,NA,150.12
Indiana Jones and the Temple of Doom,1984,NA,118,7.6,57,Action,Adventure,NA,179.87
The Matrix Revolutions,2003,R,129,6.8,47,Action,Sci-Fi,NA,139.31
The Pursuit of Happyness,2006,PG-13,117,8,64,Biography,Drama,NA,163.57
Edward Scissorhands,1990,NA,105,7.9,74,Drama,Fantasy,Romance,56.36
Bohemian Rhapsody,2018,17+,134,8,49,Biography,Drama,Music,216.43
Lucy,I 2014,R,89,6.4,61,Action,Sci-Fi,Thriller,126.66
Hancock,2008,PG-13,92,6.4,49,Action,Drama,Fantasy,227.95
Rear Window,1954,PG,112,8.4,100,Mystery,Thriller,NA,36.76
The Conjuring,2013,R,112,7.5,68,Horror,Mystery,Thriller,137.4
Ice Age,2002,SU,81,7.5,60,Animation,Adventure,Comedy,176.39
Little Miss Sunshine,2006,R,101,7.8,80,Comedy,Drama,NA,59.89
Dallas Buyers Club,2013,R,117,8,80,Biography,Drama,NA,27.3
American Sniper,2014,R,133,7.3,72,Action,Biography,Drama,350.13
Warrior,2011,PG-13,140,8.2,71,Action,Drama,Sport,13.66
Baby Driver,2017,17+,113,7.6,86,Action,Crime,Music,107.83
Captain Marvel,2019,13+,123,6.9,64,Action,Adventure,Sci-Fi,426.83
The Bourne Supremacy,2004,PG-13,108,7.7,73,Action,Mystery,Thriller,176.24
The Fifth Element,1997,PG-13,126,7.7,52,Action,Adventure,Sci-Fi,63.54
The Incredible Hulk,2008,PG-13,112,6.7,61,Action,Adventure,Sci-Fi,134.52
Rush,I 2013,R,123,8.1,74,Action,Biography,Drama,26.95
Hacksaw Ridge,2016,R,139,8.1,71,Biography,Drama,History,67.21
Zootopia,2016,SU,108,8,78,Animation,Adventure,Comedy,341.27
The Wolverine,2013,PG-13,126,6.7,61,Action,Adventure,Sci-Fi,132.56
Knives Out,2019,17+,130,7.9,82,Comedy,Crime,Drama,165.36
The Help,2011,PG-13,146,8,62,Drama,NA,NA,169.71
Charlie and the Chocolate Factory,2005,PG,115,6.6,72,Adventure,Comedy,Family,206.46
Twilight,I 2008,PG-13,122,5.2,56,Drama,Fantasy,Romance,191.47
Divergent,2014,PG-13,139,6.6,48,Action,Adventure,Mystery,150.95
"Three Billboards Outside Ebbing, Missouri",2017,R,115,8.2,88,Comedy,Crime,Drama,54.51
Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122,6.1,65,Action,Adventure,NA,317.1
Love Actually,2003,R,135,7.6,55,Comedy,Drama,Romance,59.7
Fury,2014,R,134,7.6,64,Action,Drama,War,85.82
Horrible Bosses,2011,R,98,6.9,57,Comedy,Crime,NA,117.54
Dead Poets Society,1989,NA,128,8.1,79,Comedy,Drama,NA,95.86
The Hurt Locker,2008,R,131,7.5,95,Drama,Thriller,War,17.02
Sherlock Holmes: A Game of Shadows,2011,PG-13,129,7.5,48,Action,Adventure,Mystery,186.85
Crash,I 2004,R,112,7.7,66,Crime,Drama,Thriller,54.58
Split,IX 2016,PG-13,117,7.3,62,Horror,Thriller,NA,138.29
The Girl with the Dragon Tattoo,2011,R,158,7.8,71,Crime,Drama,Mystery,102.52
Captain Phillips,2013,PG-13,134,7.8,82,Adventure,Biography,Crime,107.1
Elysium,I 2013,R,109,6.6,61,Action,Drama,Sci-Fi,93.05
Mystic River,2003,R,138,7.9,84,Crime,Drama,Mystery,90.14
Shrek 2,2004,PG,93,7.2,75,Animation,Adventure,Comedy,436.47
Kung Fu Panda,2008,PG,92,7.5,74,Animation,Action,Adventure,215.43
Spotlight,I 2015,13+,129,8.1,93,Biography,Crime,Drama,45.06
Beauty and the Beast,1991,NA,84,8,95,Animation,Family,Fantasy,218.97
The Maze Runner,2014,PG-13,113,6.8,57,Action,Mystery,Sci-Fi,102.43
The Amazing Spider-Man 2,2014,PG-13,142,6.6,53,Action,Adventure,Sci-Fi,202.85
War of the Worlds,2005,PG-13,116,6.5,73,Adventure,Sci-Fi,Thriller,234.28
Big Fish,2003,PG-13,125,8,58,Adventure,Drama,Fantasy,66.26
The Day After Tomorrow,2004,PG-13,124,6.4,47,Action,Adventure,Sci-Fi,186.74
The Hunger Games: Mockingjay - Part 1,2014,PG-13,123,6.6,64,Action,Adventure,Sci-Fi,337.14
Lost in Translation,2003,D,102,7.7,89,Comedy,Drama,NA,44.59
Dawn of the Planet of the Apes,2014,PG-13,130,7.6,79,Action,Adventure,Drama,208.55
Big Hero 6,2014,13+,102,7.8,74,Animation,Action,Adventure,222.53
Fantastic Beasts and Where to Find Them,2016,13+,132,7.3,66,Adventure,Family,Fantasy,234.04
Quantum of Solace,2008,PG-13,106,6.6,58,Action,Adventure,Thriller,168.37
The Terminal,2004,PG-13,128,7.4,55,Comedy,Drama,Romance,77.87
A Quiet Place,2018,13+,90,7.5,82,Drama,Horror,Sci-Fi,188.02
Gangs of New York,2002,R,167,7.5,72,Crime,Drama,NA,77.81
Tangled,2010,SU,100,7.7,71,Animation,Adventure,Comedy,200.82
Back to the Future Part III,1990,NA,118,7.4,55,Adventure,Comedy,Sci-Fi,87.73
We're the Millers,2013,R,110,7,44,Comedy,Crime,NA,150.39
The Theory of Everything,2014,PG-13,123,7.7,72,Biography,Drama,Romance,35.89
1917,2019,13+,119,8.3,78,Drama,War,NA,159.23
The Da Vinci Code,2006,PG-13,149,6.6,46,Mystery,Thriller,NA,217.54
Citizen Kane,1941,PG,119,8.3,100,Drama,Mystery,NA,1.59
The Last Samurai,2003,R,154,7.7,55,Action,Drama,NA,111.11
It's a Wonderful Life,1946,PG,130,8.6,89,Drama,Family,Fantasy,NA
Armageddon,1998,PG-13,151,6.7,42,Action,Adventure,Sci-Fi,201.57
The 40 Year Old Virgin,2005,R,116,7.1,73,Comedy,Romance,NA,109.45
The Princess Bride,1987,NA,98,8,77,Adventure,Family,Fantasy,30.86
X-Men: Apocalypse,2016,13+,144,6.9,52,Action,Adventure,Sci-Fi,155.44
